Frame,Module,Start_Time,End_Time,Duration_s,Energy_kWh,Emissions_kg,CPU_Usage,Memory_Usage
28,lane_detection,16:32:59.030183,16:32:59.122326,0.0921,0.000000,0.000000,0,0
28,car_overlay_reconstruction,16:32:59.128746,16:32:59.131695,0.0029,0.000000,0.000000,0,0
28,object_detection_yolo,16:32:59.137754,16:32:59.174776,0.0370,0.000000,0.000000,0,0
28,vehicle_analysis_postprocessing,16:32:59.179264,16:32:59.179348,0.0001,0.000000,0.000000,0,0
28,mqtt_communication,16:32:59.183161,16:32:59.183382,0.0002,0.000000,0.000000,0,0
29,lane_detection,16:32:59.216097,16:32:59.305585,0.0895,0.000000,0.000000,0,0
29,car_overlay_reconstruction,16:32:59.312136,16:32:59.315066,0.0029,0.000000,0.000000,0,0
29,object_detection_yolo,16:32:59.321428,16:32:59.359009,0.0376,0.000000,0.000000,0,0
29,vehicle_analysis_postprocessing,16:32:59.365567,16:32:59.365693,0.0001,0.000000,0.000000,0,0
29,mqtt_communication,16:32:59.372026,16:32:59.372385,0.0004,0.000000,0.000000,0,0
30,lane_detection,16:32:59.407707,16:32:59.498907,0.0912,0.000000,0.000000,0,0
30,car_overlay_reconstruction,16:32:59.505526,16:32:59.508281,0.0028,0.000000,0.000000,0,0
30,object_detection_yolo,16:32:59.514314,16:32:59.551570,0.0373,0.000000,0.000000,0,0
30,vehicle_analysis_postprocessing,16:32:59.557951,16:32:59.558061,0.0001,0.000000,0.000000,0,0
30,mqtt_communication,16:32:59.563982,16:32:59.564289,0.0003,0.000000,0.000000,0,0
31,lane_detection,16:32:59.599416,16:32:59.691180,0.0918,0.000000,0.000000,0,0
31,car_overlay_reconstruction,16:32:59.697497,16:32:59.700251,0.0028,0.000000,0.000000,0,0
31,object_detection_yolo,16:32:59.706455,16:32:59.743584,0.0371,0.000000,0.000000,0,0
31,vehicle_analysis_postprocessing,16:32:59.749933,16:32:59.750060,0.0001,0.000000,0.000000,0,0
31,mqtt_communication,16:32:59.755965,16:32:59.756279,0.0003,0.000000,0.000000,0,0
32,lane_detection,16:32:59.791197,16:32:59.882119,0.0909,0.000000,0.000000,0,0
32,car_overlay_reconstruction,16:32:59.888457,16:32:59.891352,0.0029,0.000000,0.000000,0,0
32,object_detection_yolo,16:32:59.897284,16:32:59.934379,0.0371,0.000000,0.000000,0,0
32,vehicle_analysis_postprocessing,16:32:59.940903,16:32:59.941003,0.0001,0.000000,0.000000,0,0
32,mqtt_communication,16:32:59.946883,16:32:59.947188,0.0003,0.000000,0.000000,0,0
33,lane_detection,16:32:59.982223,16:33:00.072737,0.0905,0.000000,0.000000,0,0
33,car_overlay_reconstruction,16:33:00.079087,16:33:00.081949,0.0029,0.000000,0.000000,0,0
33,object_detection_yolo,16:33:00.087851,16:33:00.124978,0.0371,0.000000,0.000000,0,0
33,vehicle_analysis_postprocessing,16:33:00.131358,16:33:00.131461,0.0001,0.000000,0.000000,0,0
33,mqtt_communication,16:33:00.137527,16:33:00.137822,0.0003,0.000000,0.000000,0,0
34,lane_detection,16:33:00.172722,16:33:00.263524,0.0908,0.000000,0.000000,0,0
34,car_overlay_reconstruction,16:33:00.269819,16:33:00.272733,0.0029,0.000000,0.000000,0,0
34,object_detection_yolo,16:33:00.278910,16:33:00.316003,0.0371,0.000000,0.000000,0,0
34,vehicle_analysis_postprocessing,16:33:00.319851,16:33:00.319926,0.0001,0.000000,0.000000,0,0
