Frame,Module,Start_Time,End_Time,Duration_s,CPU_Usage_%,Memory_Usage_MB,Memory_Delta_MB,CPU_Time_User_s,CPU_Time_System_s,Estimated_Energy_Wh
28,mqtt_communication,16:48:31.183104,16:48:31.183447,0.000343,2914.74,2988.91,0.00,0.010000,0.000000,0.00000186
29,lane_detection,16:48:31.216942,16:48:31.299020,0.082078,816.30,2991.91,0.00,0.630000,0.040000,0.00013910
29,car_overlay_reconstruction,16:48:31.299510,16:48:31.302484,0.002974,1008.65,2991.91,0.00,0.030000,0.000000,0.00000606
29,object_detection_yolo,16:48:31.302804,16:48:31.337455,0.034652,779.18,2991.91,0.00,0.250000,0.020000,0.00005644
29,vehicle_analysis_postprocessing,16:48:31.337782,16:48:31.337893,0.000111,0.00,2991.91,0.00,0.000000,0.000000,0.00000003
29,mqtt_communication,16:48:31.338106,16:48:31.338366,0.000260,0.00,2991.91,0.00,0.000000,0.000000,0.00000006
30,lane_detection,16:48:31.367236,16:48:31.447805,0.080569,806.77,2994.91,0.00,0.620000,0.030000,0.00013519
30,car_overlay_reconstruction,16:48:31.448178,16:48:31.450599,0.002421,826.06,2994.91,0.00,0.020000,0.000000,0.00000415
30,object_detection_yolo,16:48:31.450853,16:48:31.484549,0.033696,801.28,2994.91,0.00,0.260000,0.010000,0.00005621
30,vehicle_analysis_postprocessing,16:48:31.484869,16:48:31.484982,0.000113,8830.11,2994.91,0.00,0.010000,0.000000,0.00000181
30,mqtt_communication,16:48:31.485199,16:48:31.485454,0.000255,0.00,2994.91,0.00,0.000000,0.000000,0.00000006
31,lane_detection,16:48:31.514513,16:48:31.595284,0.080771,792.37,2997.78,0.00,0.610000,0.030000,0.00013348
31,car_overlay_reconstruction,16:48:31.595682,16:48:31.598419,0.002738,730.59,2997.78,0.00,0.020000,0.000000,0.00000422
31,object_detection_yolo,16:48:31.598703,16:48:31.632817,0.034114,820.78,2997.78,0.00,0.260000,0.020000,0.00005810
31,vehicle_analysis_postprocessing,16:48:31.633162,16:48:31.633282,0.000119,0.00,2997.78,0.00,0.000000,0.000000,0.00000003
31,mqtt_communication,16:48:31.633476,16:48:31.633699,0.000223,0.00,2997.78,0.00,0.000000,0.000000,0.00000005
32,lane_detection,16:48:31.662494,16:48:31.745144,0.082650,798.54,3000.78,0.00,0.630000,0.030000,0.00013752
32,car_overlay_reconstruction,16:48:31.745558,16:48:31.748586,0.003027,1321.25,3000.78,0.00,0.030000,0.010000,0.00000785
32,object_detection_yolo,16:48:31.748908,16:48:31.783143,0.034235,788.67,3000.78,0.00,0.260000,0.010000,0.00005636
32,vehicle_analysis_postprocessing,16:48:31.783492,16:48:31.783604,0.000112,0.00,3000.78,0.00,0.000000,0.000000,0.00000003
32,mqtt_communication,16:48:31.783796,16:48:31.784050,0.000253,3945.72,3000.78,0.00,0.000000,0.010000,0.00000184
33,lane_detection,16:48:31.812958,16:48:31.890796,0.077838,796.53,3003.78,0.00,0.580000,0.040000,0.00012925
33,car_overlay_reconstruction,16:48:31.891220,16:48:31.894151,0.002932,682.22,3003.78,0.00,0.020000,0.000000,0.00000427
33,object_detection_yolo,16:48:31.894449,16:48:31.928502,0.034053,792.88,3003.78,0.00,0.260000,0.010000,0.00005632
33,vehicle_analysis_postprocessing,16:48:31.928854,16:48:31.928973,0.000119,0.00,3003.78,0.00,0.000000,0.000000,0.00000003
33,mqtt_communication,16:48:31.929185,16:48:31.929451,0.000267,3751.61,3003.78,0.00,0.010000,0.000000,0.00000184
34,lane_detection,16:48:31.958395,16:48:32.037178,0.078783,812.36,3006.66,0.00,0.610000,0.030000,0.00013305
